waveform,[0],PXI1Slot7/ai0
t0,12/31/1903  19:00:00.000000,12/14/2017  03:38:55.524437
delta t,5.000000E-7,5.000000E-7

time,Y[0],PXI1Slot7/ai0
12/31/1903  19:00:00.000184,8.741183E-2,-1.258498E-2
12/31/1903  19:00:00.000184,9.599401E-2,-1.245981E-2
12/31/1903  19:00:00.000185,4.755474E-2,-1.261627E-2
12/31/1903  19:00:00.000185,-2.913442E-2,-1.249110E-2
12/31/1903  19:00:00.000186,-8.851729E-2,-1.267886E-2
12/31/1903  19:00:00.000186,-9.531482E-2,-1.277274E-2
12/31/1903  19:00:00.000187,-4.548580E-2,-1.289791E-2
12/31/1903  19:00:00.000187,3.136817E-2,-1.258498E-2
12/31/1903  19:00:00.000188,8.958607E-2,-1.289791E-2
12/31/1903  19:00:00.000188,9.457567E-2,-1.274145E-2
12/31/1903  19:00:00.000189,4.336937E-2,-1.314826E-2
12/31/1903  19:00:00.000189,-3.360837E-2,-1.233463E-2
12/31/1903  19:00:00.000190,-9.061602E-2,-1.076997E-2
12/31/1903  19:00:00.000190,-9.377529E-2,-1.067609E-2
12/31/1903  19:00:00.000191,-4.120583E-2,-1.189653E-2
12/31/1903  19:00:00.000191,3.585317E-2,-1.311697E-2
12/31/1903  19:00:00.000192,9.160494E-2,-1.292921E-2
12/31/1903  19:00:00.000192,9.291245E-2,-1.255369E-2
12/31/1903  19:00:00.000193,3.899566E-2,-1.186523E-2
12/31/1903  19:00:00.000193,-3.810066E-2,-1.202170E-2
12/31/1903  19:00:00.000194,-9.255061E-2,-1.255369E-2
12/31/1903  19:00:00.000194,-9.198595E-2,-1.299179E-2
12/31/1903  19:00:00.000195,-3.673942E-2,-1.289791E-2
12/31/1903  19:00:00.000195,4.034886E-2,-1.192782E-2
12/31/1903  19:00:00.000196,9.345080E-2,-1.224075E-2
12/31/1903  19:00:00.000196,9.099464E-2,-1.302309E-2
12/31/1903  19:00:00.000197,3.443775E-2,-1.317955E-2
12/31/1903  19:00:00.000197,-4.259569E-2,-1.317955E-2
12/31/1903  19:00:00.000198,-9.430324E-2,-1.220946E-2
12/31/1903  19:00:00.000198,-8.993744E-2,-1.227205E-2
12/31/1903  19:00:00.000199,-3.209139E-2,-1.292921E-2
12/31/1903  19:00:00.000199,4.483902E-2,-1.283533E-2
